0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
3,3,4,4,4,4,5,5,5,5,7
24,27,30,33,35,38,41,43,45,48,52
81,90,97,105,112,119,126,133,139,145,155
176,191,206,220,233,246,259,271,283,294,310
308,333,357,380,403,424,445,465,485,504,528
489,522,559,595,629,663,695,726,756,786,822
726,770,819,870,919,967,1012,1057,1100,1142,1186
1017,1079,1139,1201,1259,1315,1370,1423,1475,1525,1562
1340,1412,1482,1546,1596,1643,1689,1734,1777,1820,1839
1640,1701,1759,1813,1844,1868,1892,1915,1937,1958,1964
1857,1888,1917,1946,1962,1969,1975,1982,1988,1994,1995
1963,1972,1980,1987,1994,1995,1996,1997,1998,1999,2000
1993,1995,1997,1998,1999,2000,2000,2000,2000,2000,2000
1999,1999,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
